Symbol;Date;Close
AAPL;30.12.2014;112519997
AAPL;31.12.2014;110379997
AAPL;02.01.2015;109330002
AAPL;05.01.2015;106250000
AAPL;06.01.2015;106260002
AAPL;07.01.2015;107750000
AAPL;08.01.2015;111889999
AAPL;09.01.2015;112010002
AAPL;12.01.2015;109250000
AAPL;13.01.2015;110220001
AAPL;14.01.2015;109800003
AAPL;15.01.2015;106820000
AAPL;16.01.2015;105989998
AAPL;20.01.2015;108720001
AAPL;21.01.2015;109550003
AAPL;22.01.2015;112400002
AAPL;23.01.2015;112980003
AAPL;26.01.2015;113099998
AAPL;27.01.2015;109139999
AAPL;28.01.2015;115309998
AAPL;29.01.2015;118900002
AAPL;30.01.2015;117160004
AAPL;02.02.2015;118629997
AAPL;03.02.2015;118650002
AAPL;04.02.2015;119559998
AAPL;05.02.2015;119940002
AAPL;06.02.2015;118930000
AAPL;09.02.2015;119720001
AAPL;10.02.2015;122019997
AAPL;11.02.2015;124879997
AAPL;12.02.2015;126459999
AAPL;13.02.2015;127080002
AAPL;17.02.2015;127830002
AAPL;18.02.2015;128720001
AAPL;19.02.2015;128449997
AAPL;20.02.2015;129500000
AAPL;23.02.2015;133000000
AAPL;24.02.2015;132169998
AAPL;25.02.2015;128789993
AAPL;26.02.2015;130419998
AAPL;27.02.2015;128460007
AAPL;02.03.2015;129089996
AAPL;03.03.2015;129360001
AAPL;04.03.2015;128539993
AAPL;05.03.2015;126410004
AAPL;06.03.2015;126599998
AAPL;09.03.2015;127139999
AAPL;10.03.2015;124510002
AAPL;11.03.2015;122239998
AAPL;12.03.2015;124449997
AAPL;13.03.2015;123589996
AAPL;16.03.2015;124949997
AAPL;17.03.2015;127040001
AAPL;18.03.2015;128470001
AAPL;19.03.2015;127500000
AAPL;20.03.2015;125900002
AAPL;23.03.2015;127209999
AAPL;24.03.2015;126690002
AAPL;25.03.2015;123379997
AAPL;26.03.2015;124239998
AAPL;27.03.2015;123250000
AAPL;30.03.2015;126370003
AAPL;31.03.2015;124430000
AAPL;01.04.2015;124250000
AAPL;02.04.2015;125320000
AAPL;06.04.2015;127349998
AAPL;07.04.2015;126010002
AAPL;08.04.2015;125599998
AAPL;09.04.2015;126559998
AAPL;10.04.2015;127099998
AAPL;13.04.2015;126849998
AAPL;14.04.2015;126300003
AAPL;15.04.2015;126779999
AAPL;16.04.2015;126169998
AAPL;17.04.2015;124750000
AAPL;20.04.2015;127599998
AAPL;21.04.2015;126910004
AAPL;22.04.2015;128619995
AAPL;23.04.2015;129669998
AAPL;24.04.2015;130279999
AAPL;27.04.2015;132649994
AAPL;28.04.2015;130559998
AAPL;29.04.2015;128639999
AAPL;30.04.2015;125150002
AAPL;01.05.2015;128949997
AAPL;04.05.2015;128699997
AAPL;05.05.2015;125800003
AAPL;06.05.2015;125010002
AAPL;07.05.2015;125260002
AAPL;08.05.2015;127620003
AAPL;11.05.2015;126320000
AAPL;12.05.2015;125870003
AAPL;13.05.2015;126010002
AAPL;14.05.2015;128949997
AAPL;15.05.2015;128770004
AAPL;18.05.2015;130190002
AAPL;19.05.2015;130070007
AAPL;20.05.2015;130059998
AAPL;21.05.2015;131389999
AAPL;22.05.2015;132539993
AAPL;26.05.2015;129619995
AAPL;27.05.2015;132039993
AAPL;28.05.2015;131779999
AAPL;29.05.2015;130279999
AAPL;01.06.2015;130539993
AAPL;02.06.2015;129960007
AAPL;03.06.2015;130119995
AAPL;04.06.2015;129360001
AAPL;05.06.2015;128649994
AAPL;08.06.2015;127800003
AAPL;09.06.2015;127419998
AAPL;10.06.2015;128880005
AAPL;11.06.2015;128589996
AAPL;12.06.2015;127169998
AAPL;15.06.2015;126919998
AAPL;16.06.2015;127599998
