id;symbol;date;close
12450;IBM;01.12.2016;159.82
12451;IBM;02.12.2016;160.02
12452;IBM;05.12.2016;159.84
12453;IBM;06.12.2016;160.35
12454;IBM;07.12.2016;164.79
12455;IBM;08.12.2016;165.36
12456;IBM;09.12.2016;166.52
12457;IBM;12.12.2016;165.5
12458;IBM;13.12.2016;168.29
12459;IBM;14.12.2016;168.51
12460;IBM;15.12.2016;168.02
12461;IBM;16.12.2016;166.73
12462;IBM;19.12.2016;166.68
12463;IBM;20.12.2016;167.6
12464;IBM;21.12.2016;167.33
12465;IBM;22.12.2016;167.06
12466;IBM;23.12.2016;166.71
12467;IBM;27.12.2016;167.14
12468;IBM;28.12.2016;166.19
12469;IBM;29.12.2016;166.6
12470;IBM;30.12.2016;165.99
12471;IBM;03.01.2017;167.19
12472;IBM;04.01.2017;169.26
12473;IBM;05.01.2017;168.7
12474;IBM;06.01.2017;169.53
12475;IBM;09.01.2017;167.65
12476;IBM;10.01.2017;165.52
12477;IBM;11.01.2017;167.75
12478;IBM;12.01.2017;167.95
12479;IBM;13.01.2017;167.34
12480;IBM;17.01.2017;167.89
12481;IBM;18.01.2017;166.8
12482;IBM;19.01.2017;166.81
12483;IBM;20.01.2017;170.55
12484;IBM;23.01.2017;171.03
12485;IBM;24.01.2017;175.9
12486;IBM;25.01.2017;178.29
12487;IBM;26.01.2017;178.66
12488;IBM;27.01.2017;177.3
12489;IBM;30.01.2017;175.8
12490;IBM;31.01.2017;174.52
12491;IBM;01.02.2017;174.29
12492;IBM;02.02.2017;174.58
12493;IBM;03.02.2017;175.82
12494;IBM;06.02.2017;175.86
12495;IBM;07.02.2017;178.46
12496;IBM;08.02.2017;176.17
12497;IBM;09.02.2017;177.21
12498;IBM;10.02.2017;178.68
12499;IBM;13.02.2017;179.36
12500;IBM;14.02.2017;180.13
12501;IBM;15.02.2017;181.68
12502;IBM;16.02.2017;181.43
12503;IBM;17.02.2017;180.67
12504;IBM;21.02.2017;180.26
12505;IBM;22.02.2017;181.15
12506;IBM;23.02.2017;181.65
12507;IBM;24.02.2017;181.35
12508;IBM;27.02.2017;179.4
12509;IBM;28.02.2017;179.82
12510;IBM;01.03.2017;181.95
12511;IBM;02.03.2017;180.53
12512;IBM;03.03.2017;180.05
