Symbol;Date;Close
NVDA;28.02.2011;5.665
NVDA;01.03.2011;5.4125
NVDA;02.03.2011;5.1875
NVDA;03.03.2011;5.2175
NVDA;04.03.2011;5.1888
NVDA;07.03.2011;5.1175
NVDA;08.03.2011;4.8875
NVDA;09.03.2011;4.785
NVDA;10.03.2011;4.48
NVDA;11.03.2011;4.5125
NVDA;14.03.2011;4.55
NVDA;15.03.2011;4.415
NVDA;16.03.2011;4.3825
NVDA;17.03.2011;4.465
NVDA;18.03.2011;4.405
NVDA;21.03.2011;4.44
NVDA;22.03.2011;4.3613
NVDA;23.03.2011;4.4525
NVDA;24.03.2011;4.8075
NVDA;25.03.2011;4.6575
NVDA;28.03.2011;4.83
NVDA;29.03.2011;4.7925
NVDA;30.03.2011;4.6125
NVDA;31.03.2011;4.615
NVDA;01.04.2011;4.55
NVDA;04.04.2011;4.3875
NVDA;05.04.2011;4.395
NVDA;06.04.2011;4.365
NVDA;07.04.2011;4.525
NVDA;08.04.2011;4.3875
NVDA;11.04.2011;4.33
NVDA;12.04.2011;4.3425
NVDA;13.04.2011;4.44
NVDA;14.04.2011;4.6275
NVDA;15.04.2011;4.6775
NVDA;18.04.2011;4.5225
NVDA;19.04.2011;4.505
NVDA;20.04.2011;4.6425
NVDA;21.04.2011;4.63
NVDA;25.04.2011;4.7025
NVDA;26.04.2011;4.825
NVDA;27.04.2011;4.825
NVDA;28.04.2011;4.8775
NVDA;29.04.2011;5
NVDA;02.05.2011;4.9325
NVDA;03.05.2011;4.6975
NVDA;04.05.2011;4.6625
NVDA;05.05.2011;4.665
NVDA;06.05.2011;4.83
NVDA;09.05.2011;4.9375
NVDA;10.05.2011;4.945
NVDA;11.05.2011;4.9675
NVDA;12.05.2011;5.125
NVDA;13.05.2011;4.565
NVDA;16.05.2011;4.4253
NVDA;17.05.2011;4.4075
NVDA;18.05.2011;4.51
NVDA;19.05.2011;4.445
NVDA;20.05.2011;4.5225
NVDA;23.05.2011;4.5175
NVDA;24.05.2011;4.5352
NVDA;25.05.2011;4.59
NVDA;26.05.2011;4.705
NVDA;27.05.2011;4.875
NVDA;31.05.2011;5.01
NVDA;01.06.2011;4.785
NVDA;02.06.2011;4.7613
NVDA;03.06.2011;4.615
NVDA;06.06.2011;4.5175
NVDA;07.06.2011;4.515
NVDA;08.06.2011;4.3925
NVDA;09.06.2011;4.3425
NVDA;10.06.2011;4.28
NVDA;13.06.2011;4.2488
NVDA;14.06.2011;4.285
NVDA;15.06.2011;4.1925
NVDA;16.06.2011;4.0475
NVDA;17.06.2011;3.9513
NVDA;20.06.2011;3.905
NVDA;21.06.2011;3.99
NVDA;22.06.2011;3.935
NVDA;23.06.2011;4.0525
NVDA;24.06.2011;3.935
NVDA;27.06.2011;3.8525
NVDA;28.06.2011;3.875
NVDA;29.06.2011;3.935
NVDA;30.06.2011;3.9838
NVDA;01.07.2011;4.0363
NVDA;05.07.2011;3.97
NVDA;06.07.2011;3.9175
NVDA;07.07.2011;3.9313
NVDA;08.07.2011;3.8575
NVDA;11.07.2011;3.7225
NVDA;12.07.2011;3.6725
NVDA;13.07.2011;3.665
NVDA;14.07.2011;3.52
NVDA;15.07.2011;3.525
NVDA;18.07.2011;3.4488
NVDA;19.07.2011;3.5553
NVDA;20.07.2011;3.51
NVDA;21.07.2011;3.675
NVDA;22.07.2011;3.75
NVDA;25.07.2011;3.69
NVDA;26.07.2011;3.6
NVDA;27.07.2011;3.4638
NVDA;28.07.2011;3.4575
NVDA;29.07.2011;3.4575
NVDA;01.08.2011;3.6425
NVDA;02.08.2011;3.605
NVDA;03.08.2011;3.7025
NVDA;04.08.2011;3.35
NVDA;05.08.2011;3.2375
NVDA;08.08.2011;2.9825
NVDA;09.08.2011;3.2325
NVDA;10.08.2011;3.085
NVDA;11.08.2011;3.3525
NVDA;12.08.2011;3.22
NVDA;15.08.2011;3.3425
NVDA;16.08.2011;3.2475
NVDA;17.08.2011;3.2025
NVDA;18.08.2011;2.985
NVDA;19.08.2011;2.9325
NVDA;22.08.2011;2.985
NVDA;23.08.2011;3.3075
NVDA;24.08.2011;3.26
NVDA;25.08.2011;3.12
NVDA;26.08.2011;3.2525
NVDA;29.08.2011;3.34
NVDA;30.08.2011;3.42
NVDA;31.08.2011;3.3275
NVDA;01.09.2011;3.32
NVDA;02.09.2011;3.23
NVDA;06.09.2011;3.295
NVDA;07.09.2011;3.5625
NVDA;08.09.2011;3.545
NVDA;09.09.2011;3.47
NVDA;12.09.2011;3.5525
NVDA;13.09.2011;3.6325
NVDA;14.09.2011;3.82
NVDA;15.09.2011;3.8738
NVDA;16.09.2011;3.865
NVDA;19.09.2011;3.785
NVDA;20.09.2011;3.6875
NVDA;21.09.2011;3.6163
NVDA;22.09.2011;3.3775
NVDA;23.09.2011;3.4475
NVDA;26.09.2011;3.455
NVDA;27.09.2011;3.46
NVDA;28.09.2011;3.355
NVDA;29.09.2011;3.2725
NVDA;30.09.2011;3.1275
NVDA;03.10.2011;2.9525
NVDA;04.10.2011;3.225
NVDA;05.10.2011;3.34
NVDA;06.10.2011;3.4725
NVDA;07.10.2011;3.5375
NVDA;10.10.2011;3.695
NVDA;11.10.2011;3.655
NVDA;12.10.2011;3.6525
NVDA;13.10.2011;3.865
NVDA;14.10.2011;3.93
NVDA;17.10.2011;3.735
NVDA;18.10.2011;3.87
NVDA;19.10.2011;3.7925
NVDA;20.10.2011;3.6025
NVDA;21.10.2011;3.62
NVDA;24.10.2011;3.755
NVDA;25.10.2011;3.6125
NVDA;26.10.2011;3.655
NVDA;27.10.2011;3.8125
NVDA;28.10.2011;3.9
NVDA;31.10.2011;3.7
NVDA;01.11.2011;3.515
NVDA;02.11.2011;3.4538
NVDA;03.11.2011;3.6625
NVDA;04.11.2011;3.705
NVDA;07.11.2011;3.685
NVDA;08.11.2011;3.77
NVDA;09.11.2011;3.58
NVDA;10.11.2011;3.6175
NVDA;11.11.2011;3.745
NVDA;14.11.2011;3.6725
NVDA;15.11.2011;3.72
NVDA;16.11.2011;3.645
NVDA;17.11.2011;3.515
NVDA;18.11.2011;3.4825
NVDA;21.11.2011;3.6575
NVDA;22.11.2011;3.77
NVDA;23.11.2011;3.61
NVDA;25.11.2011;3.51
NVDA;28.11.2011;3.7075
NVDA;29.11.2011;3.7275
NVDA;30.11.2011;3.9075
NVDA;01.12.2011;3.955
NVDA;02.12.2011;3.93
NVDA;05.12.2011;3.87
NVDA;06.12.2011;3.815
NVDA;07.12.2011;3.7925
NVDA;08.12.2011;3.6725
NVDA;09.12.2011;3.725
NVDA;12.12.2011;3.6325
NVDA;13.12.2011;3.5325
NVDA;14.12.2011;3.395
NVDA;15.12.2011;3.365
NVDA;16.12.2011;3.3775
NVDA;19.12.2011;3.2888
NVDA;20.12.2011;3.475
NVDA;21.12.2011;3.43
NVDA;22.12.2011;3.5763
NVDA;23.12.2011;3.5425
NVDA;27.12.2011;3.515
NVDA;28.12.2011;3.4275
NVDA;29.12.2011;3.4925
NVDA;30.12.2011;3.465
NVDA;03.01.2012;3.51
NVDA;04.01.2012;3.55
NVDA;05.01.2012;3.6775
NVDA;06.01.2012;3.635
NVDA;09.01.2012;3.635
NVDA;10.01.2012;3.62
NVDA;11.01.2012;3.5475
NVDA;12.01.2012;3.525
NVDA;13.01.2012;3.4325
NVDA;17.01.2012;3.38
NVDA;18.01.2012;3.495
NVDA;19.01.2012;3.5875
NVDA;20.01.2012;3.555
NVDA;23.01.2012;3.6525
NVDA;24.01.2012;3.735
NVDA;25.01.2012;3.7125
NVDA;26.01.2012;3.6775
NVDA;27.01.2012;3.7275
NVDA;30.01.2012;3.7
NVDA;31.01.2012;3.6925
NVDA;01.02.2012;3.7325
NVDA;02.02.2012;3.8713
NVDA;03.02.2012;3.955
NVDA;06.02.2012;3.9238
NVDA;07.02.2012;3.935
NVDA;08.02.2012;4.0775
NVDA;09.02.2012;4.075
NVDA;10.02.2012;3.9738
NVDA;13.02.2012;4.0375
NVDA;14.02.2012;4.06
NVDA;15.02.2012;4.0425
NVDA;16.02.2012;4.1125
NVDA;17.02.2012;3.9625
NVDA;21.02.2012;3.9813
NVDA;22.02.2012;3.955
NVDA;23.02.2012;3.9775
NVDA;24.02.2012;3.9475
NVDA;27.02.2012;3.8675
NVDA;28.02.2012;3.8325
NVDA;29.02.2012;3.7875
NVDA;01.03.2012;3.8125
NVDA;02.03.2012;3.845
NVDA;05.03.2012;3.715
NVDA;06.03.2012;3.68
NVDA;07.03.2012;3.7025
NVDA;08.03.2012;3.7138
