Code;Name;CountryISO;ISIN;CCY;Sector;Industry;GicSector;GicGroup;GicIndustry;GicSubIndustry;HQ;FullTimeEmployees;WebURL;UpdateDate;ActiveFlag
DISH US;DISH Network Corporation;US;US25470M1099;USD;Communication Services;Telecom Services;Communication Services;Media & Entertainment;Media;Cable & Satellite;United States;14200;https://www.dish.com;18.09.2023;1
DSGR US;Distribution Solutions Group Inc;US;US5207761058;USD;Industrials;Industrial Distribution;Industrials;Capital Goods;Trading Companies & Distributors;Trading Companies & Distributors;United States;3100;https://distributionsolutionsgroup.com;18.09.2023;1
DKSH SW;DKSH Holding AG;CH;CH0126673539;CHF;Industrials;Consulting Services;Industrials;Commercial & Professional Services;Professional Services;Research & Consulting Services;Switzerland;29699;https://www.dksh.com;20.09.2023;1
DLHC US;DLH Holdings Corp;US;US23335Q1004;USD;Industrials;Specialty Business Services;Industrials;Commercial & Professional Services;Professional Services;Human Resource & Employment Services;United States;3200;https://www.dlhcorp.com;18.09.2023;1
ALDLS PA;DLSI;FR;FR0010404368;EUR;Industrials;Staffing & Employment Services;Industrials;Commercial & Professional Services;Professional Services;Human Resource & Employment Services;France;241;https://www.groupedlsi.com;19.10.2023;1
BOOM US;Dmc Global Inc;US;US23291C1036;USD;Energy;Oil & Gas Equipment & Services;Energy;Energy;Energy Equipment & Services;Oil & Gas Equipment & Services;United States;1700;https://www.dmcglobal.com;18.09.2023;1
GIL XETRA;DMG MORI AKTIENGESELLSCHAFT;DE;DE0005878003;EUR;Industrials;Tools & Accessories;Industrials;Capital Goods;Machinery;Industrial Machinery & Supplies & Components;Germany;6916;https://www.dmgmori.com;18.10.2023;1
AJ91 XETRA;DocCheck AG;DE;DE000A1A6WE6;EUR;Healthcare;Health Information Services;Health Care;Health Care Equipment & Services;Health Care Technology;Health Care Technology;Germany;473;https://www.doccheck.ag;18.10.2023;1
DCGO US;DocGo Inc;US;US2560861096;USD;Healthcare;Medical Care Facilities;Health Care;Health Care Equipment & Services;Health Care Equipment & Supplies;Health Care Equipment;United States;2064;https://www.docgo.com;17.09.2023;1
DOCM SW;DocMorris AG;CH;CH0042615283;CHF;Healthcare;Pharmaceutical Retailers;Consumer Staples;Consumer Staples Distribution & Retail;Consumer Staples Distribution & Retail;Drug Retail;Switzerland;2283;https://www.zurrosegroup.com;05.09.2023;1
DOCU US;DocuSign Inc;US;US2561631068;USD;Technology;Software-Application;Information Technology;Software & Services;Software;Application Software;United States;7336;https://www.DocuSign.com;17.09.2023;1
DLB US;Dolby Laboratories;US;US25659T1079;USD;Industrials;Specialty Business Services;Information Technology;Technology Hardware & Equipment;Electronic Equipment, Instruments & Components;Electronic Components;United States;2336;https://www.dolby.com;19.09.2023;1
ALDOL PA;Dolfines SAS;FR;FR0014004QZ9;EUR;Energy;Oil & Gas Equipment & Services;Information Technology;Semiconductors & Semiconductor Equipment;Semiconductors & Semiconductor Equipment;Semiconductor Materials & Equipment;France;21;https://www.dolfines.com;18.10.2023;1
DG US;Dollar General Corporation;US;US2566771059;USD;Consumer Defensive;Discount Stores;Consumer Discretionary;Consumer Discretionary Distribution & Retail;Broadline Retail;General Merchandise Stores;United States;170000;https://www.dollargeneral.com;19.09.2023;1
DLTR US;Dollar Tree Inc;US;US2567461080;USD;Consumer Defensive;Discount Stores;Consumer Discretionary;Consumer Discretionary Distribution & Retail;Broadline Retail;General Merchandise Stores;United States;65025;https://www.dollartree.com;19.09.2023;1
DLPN US;Dolphin Entertainment Inc;US;US25686H2094;USD;Communication Services;Advertising Agencies;Communication Services;Media & Entertainment;Entertainment;Movies & Entertainment;United States;244;https://www.dolphinentertainment.com;17.09.2023;1
D US;Dominion Energy Inc;US;US25746U1097;USD;Utilities;Utilities-Regulated Electric;Utilities;Utilities;Multi-Utilities;Multi-Utilities;United States;17200;https://www.dominionenergy.com;18.09.2023;1
DOMO US;Domo Inc;US;US2575541055;USD;Technology;Software-Application;Information Technology;Software & Services;Software;Application Software;United States;967;https://www.domo.com;17.09.2023;1
DFIN US;Donnelley Financial Solutions Inc;US;US25787G1004;USD;Financial Services;Capital Markets;Financials;Financial Services;Capital Markets;Financial Exchanges & Data;United States;2150;https://www.dfinsolutions.com;19.09.2023;1
ALDNE PA;DONTNOD Entertainment SA;FR;FR0013331212;EUR;Communication Services;Electronic Gaming & Multimedia;Communication Services;Media & Entertainment;Entertainment;Interactive Home Entertainment;France;361;https://dontnod-bourse.com;05.09.2023;1
DASH US;DoorDash Inc;US;US25809K1051;USD;Communication Services;Internet Content & Information;Consumer Discretionary;Consumer Discretionary Distribution & Retail;Internet & Direct Marketing Retail;Internet & Direct Marketing Retail;United States;16800;https://www.doordash.com;17.09.2023;1
DOKA SW;Dorma Kaba Holding AG;CH;CH0011795959;CHF;Industrials;Security & Protection Services;Information Technology;Technology Hardware & Equipment;Electronic Equipment, Instruments & Components;Electronic Equipment & Instruments;Switzerland;15352;https://www.dormakaba.com;20.09.2023;1
DORM US;Dorman Products Inc;US;US2582781009;USD;Consumer Cyclical;Auto Parts;Consumer Discretionary;Automobiles & Components;Automobile Components;Automotive Parts & Equipment;United States;3786;https://www.dormanproducts.com;19.09.2023;1
DESN SW;Dottikon Es Holding AG;CH;CH0582581713;CHF;Basic Materials;Chemicals;Materials;Materials;Chemicals;Commodity Chemicals;Switzerland;678;https://dottikon.com;20.09.2023;1
DV US;DoubleVerify Holdings Inc;US;US25862V1052;USD;Technology;Software-Application;Information Technology;Software & Services;Software;Application Software;United States;902;https://www.doubleverify.com;17.09.2023;1
PLOW US;Douglas Dynamics Inc;US;US25960R1059;USD;Consumer Cyclical;Auto Parts;Industrials;Capital Goods;Machinery;Construction Machinery & Heavy Transportation Equipment;United States;1813;https://www.douglasdynamics.com;19.09.2023;1
DOUG US;Douglas Elliman Inc;US;US25961D1054;USD;Real Estate;Real Estate Services;Real Estate;Equity Real Estate Investment Trusts (REITs);Real Estate Management & Development;Real Estate Development;United States;957;https://www.elliman.com;17.09.2023;1
DEI US;Douglas Emmett Inc;US;US25960P1093;USD;Real Estate;REIT-Office;Real Estate;Equity Real Estate Investment Trusts (REITs);Diversified REITs;Office REITs;United States;750;https://www.douglasemmett.com;18.09.2023;1
DOV US;Dover Corporation;US;US2600031080;USD;Industrials;Specialty Industrial Machinery;Industrials;Capital Goods;Machinery;Industrial Machinery & Supplies & Components;United States;25000;https://www.dovercorporation.com;18.09.2023;1
DOW US;Dow Inc;US;US2605571031;USD;Basic Materials;Chemicals;Materials;Materials;Chemicals;Commodity Chemicals;United States;37800;https://www.dow.com;18.09.2023;1
DOCS US;Doximity Inc;US;US26622P1075;USD;Healthcare;Health Information Services;Health Care;Health Care Equipment & Services;Health Care Technology;Health Care Technology;United States;900;https://www.doximity.com;17.09.2023;1
DHI US;DR Horton Inc;US;US23331A1097;USD;Consumer Cyclical;Residential Construction;Consumer Discretionary;Consumer Durables & Apparel;Household Durables;Homebuilding;United States;13237;https://www.drhorton.com;19.09.2023;1
DKNG US;DraftKings Inc;US;US26142V1052;USD;Consumer Cyclical;Gambling;Consumer Discretionary;Consumer Services;Hotels, Restaurants & Leisure;Casinos & Gaming;United States;4200;https://www.draftkings.com;17.09.2023;1
DRQ US;Dril-Quip Inc;US;US2620371045;USD;Energy;Oil & Gas Equipment & Services;Energy;Energy;Energy Equipment & Services;Oil & Gas Equipment & Services;United States;1356;https://www.dril-quip.com;17.09.2023;1
DRVN US;Driven Brands Holdings Inc;US;US26210V1026;USD;Consumer Cyclical;Auto & Truck Dealerships;Consumer Discretionary;Consumer Discretionary Distribution & Retail;Internet & Direct Marketing Retail;Internet & Direct Marketing Retail;United States;11000;https://www.drivenbrands.com;17.09.2023;1
ALDRV PA;Drone Volt SA;FR;FR0013088606;EUR;Technology;Computer Hardware;Information Technology;Technology Hardware & Equipment;Technology Hardware, Storage & Peripherals;Technology Hardware, Storage & Peripherals;France;45;https://www.dronevolt.com;19.10.2023;1
DBX US;Dropbox Inc;US;US26210C1045;USD;Technology;Software-Infrastructure;Information Technology;Software & Services;Software;Application Software;United States;3118;https://www.dropbox.com;17.09.2023;1
DTM US;DT Midstream Inc;US;US23345M1071;USD;Energy;Oil & Gas Midstream;Energy;Energy;Oil, Gas & Consumable Fuels;Oil & Gas Storage & Transportation;United States;362;https://www.dtmidstream.com;17.09.2023;1
DTE US;DTE Energy Company;US;US2333311072;USD;Utilities;Utilities-Regulated Electric;Utilities;Utilities;Multi-Utilities;Multi-Utilities;United States;10102;https://newlook.dteenergy.com;18.09.2023;1
NAPA US;Duckhorn Portfolio Inc;US;US26414D1063;USD;Consumer Defensive;Beverages-Wineries & Distilleries;Consumer Staples;Food, Beverage & Tobacco;Beverages;Distillers & Vintners;United States;434;https://www.duckhornportfolio.com;17.09.2023;1
DCO US;Ducommun Incorporated;US;US2641471097;USD;Industrials;Aerospace & Defense;Industrials;Capital Goods;Aerospace & Defense;Aerospace & Defense;United States;2465;https://www.ducommun.com;19.09.2023;1
DUFN SW;Dufry AG;CH;CH0023405456;CHF;Consumer Cyclical;Specialty Retail;Consumer Discretionary;Consumer Discretionary Distribution & Retail;Specialty Retail;Other Specialty Retail;Switzerland;23779;https://www.dufry.com;05.09.2023;1
DUK US;Duke Energy Corporation;US;US26441C2044;USD;Utilities;Utilities-Regulated Electric;Utilities;Utilities;Electric Utilities;Electric Utilities;United States;27859;https://www.duke-energy.com;19.09.2023;1
DLTH US;Duluth Holdings Inc;US;US26443V1017;USD;Consumer Cyclical;Apparel Retail;Consumer Discretionary;Consumer Discretionary Distribution & Retail;Internet & Direct Marketing Retail;Internet & Direct Marketing Retail;United States;964;https://www.duluthtrading.com;19.09.2023;1
DNB US;Dun & Bradstreet Holdings Inc.;US;US26484T1060;USD;Financial Services;Financial Data & Stock Exchanges;Industrials;Commercial & Professional Services;Professional Services;Research & Consulting Services;United States;6355;https://www.dnb.com;18.09.2023;1
DUOL US;Duolingo Inc;US;US26603R1068;USD;Technology;Software-Application;Consumer Discretionary;Consumer Services;Diversified Consumer Services;Education Services;United States;650;https://www.duolingo.com;17.09.2023;1
DUOT US;Duos Technologies Group Inc;US;US2660424076;USD;Technology;Software-Application;Information Technology;Software & Services;Software;Application Software;United States;69;https://www.duostechnologies.com;18.09.2023;1
DD US;Dupont De Nemours Inc;US;US26614N1028;USD;Basic Materials;Specialty Chemicals;Materials;Materials;Chemicals;Diversified Chemicals;United States;23000;https://www.dupont.com;18.09.2023;1
DRRX US;Durect Corporation;US;US2666051048;USD;Healthcare;Drug Manufacturers-Specialty & Generic;Health Care;Pharmaceuticals, Biotechnology & Life Sciences;Pharmaceuticals;Pharmaceuticals;United States;72;https://www.durect.com;19.09.2023;1
BROS US;Dutch Bros Inc;US;US26701L1008;USD;Consumer Cyclical;Restaurants;Consumer Discretionary;Consumer Services;Hotels, Restaurants & Leisure;Restaurants;United States;16000;https://www.dutchbros.com;17.09.2023;1
DWS XETRA;DWS Group GmbH & Co. KGaA;DE;DE000DWS1007;EUR;Financial Services;Asset Management;Financials;Financial Services;Capital Markets;Asset Management & Custody Banks;Germany;3657;https://www.dws.com;05.09.2023;1
DXC US;DXC Technology Co;US;US23355L1061;USD;Technology;Information Technology Services;Information Technology;Software & Services;IT Services;IT Consulting & Other Services;United States;130000;https://www.dxc.technology;19.09.2023;1
DXPE US;DXP Enterprises Inc;US;US2333774071;USD;Industrials;Industrial Distribution;Industrials;Capital Goods;Trading Companies & Distributors;Trading Companies & Distributors;United States;2675;https://www.dxpe.com;18.09.2023;1
DY US;Dycom Industries Inc;US;US2674751019;USD;Industrials;Engineering & Construction;Industrials;Capital Goods;Construction & Engineering;Construction & Engineering;United States;15410;https://www.dycomind.com;19.09.2023;1
DT US;Dynatrace Holdings LLC;US;US2681501092;USD;Technology;Software-Application;Information Technology;Software & Services;Software;Application Software;United States;4180;https://www.dynatrace.com;17.09.2023;1
DYNT US;Dynatronics Corporation;US;US2681574016;USD;Healthcare;Medical Devices;Health Care;Health Care Equipment & Services;Health Care Equipment & Supplies;Health Care Equipment;United States;195;https://www.dynatronics.com;19.09.2023;1
DVAX US;Dynavax Technologies Corporation;US;US2681582019;USD;Healthcare;Drug Manufacturers-Specialty & Generic;Health Care;Pharmaceuticals, Biotechnology & Life Sciences;Biotechnology;Biotechnology;United States;351;https://www.dynavax.com;18.09.2023;1
DX US;Dynex Capital Inc;US;US26817Q8868;USD;Real Estate;REIT-Mortgage;Financials;Financial Services;Mortgage Real Estate Investment Trusts (REITs);Mortgage REITs;United States;19;https://www.dynexcapital.com;19.09.2023;1
DZSI US;DZS Inc;US;US2682111099;USD;Technology;Communication Equipment;Information Technology;Technology Hardware & Equipment;Communications Equipment;Communications Equipment;United States;765;https://www.dzsi.com;19.09.2023;1
SSP US;E. W. Scripps Co Class A;US;US8110544025;USD;Communication Services;Broadcasting;Communication Services;Media & Entertainment;Media;Broadcasting;United States;5700;https://www.scripps.com;19.09.2023;1
EOAN F;E.ON SE;DE;DE000ENAG999;EUR;Utilities;Utilities-Diversified;Utilities;Utilities;Electric Utilities;Electric Utilities;Germany;71389;https://www.eon.com;20.09.2023;1
EGBN US;Eagle Bancorp Inc;US;US2689481065;USD;Financial Services;Banks-Regional;Financials;Banks;Banks;Regional Banks;United States;465;https://www.eaglebankcorp.com;17.09.2023;1
EBMT US;Eagle Bancorp Montana Inc;US;US26942G1004;USD;Financial Services;Banks-Regional;Financials;Banks;Banks;Regional Banks;United States;399;https://www.opportunitybank.com;19.09.2023;1
EGLE US;Eagle Bulk Shipping Inc;US;MHY2187A1507;USD;Industrials;Marine Shipping;Industrials;Transportation;Marine Transportation;Marine Transportation;United States;1000;https://www.eagleships.com;18.09.2023;1
EXP US;Eagle Materials Inc;US;US26969P1084;USD;Basic Materials;Building Materials;Materials;Materials;Construction Materials;Construction Materials;United States;2400;https://www.eaglematerials.com;18.09.2023;1
EGRX US;Eagle Pharmaceuticals Inc;US;US2697961082;USD;Healthcare;Drug Manufacturers-Specialty & Generic;Health Care;Pharmaceuticals, Biotechnology & Life Sciences;Biotechnology;Biotechnology;United States;134;https://www.eagleus.com;19.09.2023;1
ESTE US;Earthstone Energy Inc;US;US27032D3044;USD;Energy;Oil & Gas E&P;Energy;Energy;Oil, Gas & Consumable Fuels;Oil & Gas Exploration & Production;United States;219;https://www.earthstoneenergy.com;19.09.2023;1
ERES US;East Resources Acquisition Co;US;US2746811056;USD;Financials;Investment Holding Companies;Financials;Financial Services;Capital Markets;Asset Management & Custody Banks;United States;82;https://eastresources.com;17.09.2023;1
EWBC US;East West Bancorp Inc;US;US27579R1041;USD;Financial Services;Banks-Diversified;Financials;Banks;Banks;Regional Banks;United States;3200;https://www.eastwestbank.com;18.09.2023;1
EBC US;Eastern Bankshares Inc;US;US27627N1054;USD;Financial Services;Banks-Regional;Financials;Banks;Banks;Regional Banks;United States;2100;https://www.easternbank.com;17.09.2023;1
EML US;Eastern Co;US;US2763171046;USD;Industrials;Tools & Accessories;Industrials;Capital Goods;Machinery;Industrial Machinery & Supplies & Components;United States;1191;https://www.easterncompany.com;19.09.2023;1
EGP US;EastGroup Properties Inc;US;US2772761019;USD;Real Estate;REIT-Industrial;Real Estate;Equity Real Estate Investment Trusts (REITs);Diversified REITs;Industrial REITs;United States;87;https://www.eastgroup.net;18.09.2023;1
EMN US;Eastman Chemical Company;US;US2774321002;USD;Basic Materials;Specialty Chemicals;Materials;Materials;Chemicals;Diversified Chemicals;United States;14500;https://www.eastman.com;19.09.2023;1
KODK US;Eastman Kodak Co;US;US2774614067;USD;Industrials;Specialty Business Services;Information Technology;Technology Hardware & Equipment;Technology Hardware, Storage & Peripherals;Technology Hardware, Storage & Peripherals;United States;4200;https://www.kodak.com;18.09.2023;1
EAST US;Eastside Distilling Inc;US;US2778023026;USD;Consumer Defensive;Beverages-Wineries & Distilleries;Consumer Staples;Food, Beverage & Tobacco;Beverages;Distillers & Vintners;United States;49;https://www.eastsidedistilling.com;19.09.2023;1
EBAY US;eBay Inc;US;US2786421030;USD;Consumer Cyclical;Internet Retail;Consumer Discretionary;Consumer Discretionary Distribution & Retail;Internet & Direct Marketing Retail;Internet & Direct Marketing Retail;United States;11600;https://www.ebayinc.com;19.09.2023;1
EBET US;Ebet Inc;US;US2787001096;USD;Consumer Cyclical;Gambling;Consumer Discretionary;Consumer Services;Hotels, Restaurants & Leisure;Restaurants;United States;37;https://ebet.gg;17.09.2023;1
EBIX US;Ebix Inc;US;US2787152063;USD;Technology;Software-Application;Information Technology;Software & Services;Software;Application Software;United States;10521;https://www.ebix.com;19.09.2023;1
EBUS AS;Ebusco Holding BV;NL;NL0015000CZ2;EUR;Consumer Cyclical;Auto Manufacturers;Consumer Discretionary;Automobiles & Components;Automobiles;Automobile Manufacturers;Netherlands;458;https://www.ebusco.com;05.09.2023;1
SATS US;EchoStar Corporation;US;US2787681061;USD;Technology;Communication Equipment;Information Technology;Technology Hardware & Equipment;Communications Equipment;Communications Equipment;United States;2300;https://www.echostar.com;19.09.2023;1
EUZ F;Eckert & Ziegler Strahlen- und Medizintechnik AG;DE;DE0005659700;EUR;Healthcare;Medical Devices;Health Care;Health Care Equipment & Services;Health Care Equipment & Supplies;Health Care Equipment;Germany;1036;https://www.ezag.com;19.09.2023;1
ECL US;Ecolab Inc;US;US2788651006;USD;Basic Materials;Specialty Chemicals;Materials;Materials;Chemicals;Specialty Chemicals;United States;47000;https://www.ecolab.com;19.09.2023;1
ALECO PA;Ecomiam SA;FR;FR0013534617;EUR;Consumer Defensive;Food Distribution;Consumer Staples;Consumer Staples Distribution & Retail;Consumer Staples Distribution & Retail;Food Distributors;France;72;https://www.ecomiam.com;05.09.2023;1
ALESA PA;Ecoslops SA;FR;FR0011490648;EUR;Industrials;Waste Management;Industrials;Commercial & Professional Services;Commercial Services & Supplies;Environmental & Facilities Services;France;54;https://www.ecoslops.com;19.10.2023;1
E4C XETRA;ecotel communication ag;DE;DE0005854343;EUR;Communication Services;Telecom Services;Communication Services;Telecommunication Services;Diversified Telecommunication Services;Integrated Telecommunication Services;Germany;207;https://www.ecotel.de;19.10.2023;1
EDD3 F;edding AG;DE;DE0005647937;EUR;Consumer Defensive;Household & Personal Products;Consumer Staples;Household & Personal Products;Personal Care Products;Personal Care Products;Germany;671;https://www.edding.com;09.09.2023;1
EDL F;Edel SE & Co. KGaA;DE;DE0005649503;EUR;Communication Services;Entertainment;Communication Services;Media & Entertainment;Entertainment;Movies & Entertainment;Germany;1071;https://www.edel.com;19.09.2023;1
EDEN PA;Edenred SA;FR;FR0010908533;EUR;Financial Services;Credit Services;Industrials;Commercial & Professional Services;Commercial Services & Supplies;Diversified Support Services;France;10000;https://www.edenred.com;18.10.2023;1
EPC US;Edgewell Personal Care Co;US;US28035Q1022;USD;Consumer Defensive;Household & Personal Products;Consumer Staples;Household & Personal Products;Personal Care Products;Personal Care Products;United States;7000;https://edgewell.com;19.09.2023;1
EWTX US;Edgewise Therapeutics Inc;US;US28036F1057;USD;Healthcare;Biotechnology;Health Care;Pharmaceuticals, Biotechnology & Life Sciences;Biotechnology;Biotechnology;United States;74;https://www.edgewisetx.com;17.09.2023;1
EDBL US;Edible Garden AG Inc;US;US28059P1057;USD;Consumer Defensive;Farm Products;Consumer Staples;Food, Beverage & Tobacco;Food Products;Packaged Foods & Meats;United States;77;https://www.ediblegarden.com;17.09.2023;1
EIX US;Edison International;US;US2810201077;USD;Utilities;Utilities-Regulated Electric;Utilities;Utilities;Electric Utilities;Electric Utilities;United States;13388;https://www.edison.com;18.09.2023;1
EDIT US;Editas Medicine Inc;US;US28106W1036;USD;Healthcare;Biotechnology;Health Care;Pharmaceuticals, Biotechnology & Life Sciences;Biotechnology;Biotechnology;United States;226;https://www.editasmedicine.com;19.09.2023;1
EDUC US;Educational Development Corporation;US;US2814791057;USD;Communication Services;Publishing;Consumer Discretionary;Consumer Discretionary Distribution & Retail;Distributors;Distributors;United States;138;https://www.edcpub.com;19.09.2023;1
EW US;Edwards Lifesciences Corp;US;US28176E1082;USD;Healthcare;Medical Devices;Health Care;Health Care Equipment & Services;Health Care Equipment & Supplies;Health Care Equipment;United States;17300;https://www.edwards.com;18.09.2023;1
DEA US;Eerly Govt Ppty Inc;US;US27616P1030;USD;Real Estate;REIT-Office;Real Estate;Equity Real Estate Investment Trusts (REITs);Diversified REITs;Office REITs;United States;54;https://www.easterlyreit.com;19.09.2023;1
EFTR US;Effector Therapeutics Inc;US;US28202V1089;USD;Healthcare;Biotechnology;;;;;United States;15;https://effector.com;17.09.2023;1
EFGN SW;EFG International AG;CH;CH0022268228;CHF;Financial Services;Banks-Diversified;Financials;Banks;Banks;Diversified Banks;Switzerland;2882;https://www.efginternational.com;20.09.2023;1
EGAN US;eGain Corporation;US;US28225C8064;USD;Technology;Software-Application;Information Technology;Software & Services;Software;Application Software;United States;580;https://www.egain.com;19.09.2023;1
EHTH US;eHealth Inc;US;US28238P1093;USD;Financial Services;Insurance Brokers;Financials;Insurance;Insurance;Insurance Brokers;United States;1515;https://www.ehealthinsurance.com;19.09.2023;1
FGR PA;Eiffage SA;FR;FR0000130452;EUR;Industrials;Engineering & Construction;Industrials;Capital Goods;Construction & Engineering;Construction & Engineering;France;76300;https://www.eiffage.com;19.10.2023;1
EIGR US;Eiger Biopharmaceuticals Inc;US;US28249U1051;USD;Healthcare;Biotechnology;Health Care;Pharmaceuticals, Biotechnology & Life Sciences;Biotechnology;Biotechnology;United States;56;https://www.eigerbio.com;19.09.2023;1
EIN3 F;Einhell Germany AG;DE;DE0005654933;EUR;Industrials;Tools & Accessories;Industrials;Capital Goods;Machinery;Industrial Machinery & Supplies & Components;Germany;2536;https://www.einhell.com;20.09.2023;1
EKI PA;Ekinops SA;FR;FR0011466069;EUR;Technology;Communication Equipment;Information Technology;Technology Hardware & Equipment;Communications Equipment;Communications Equipment;France;480;https://www.ekinops.com;19.10.2023;1
ETE XETRA;Ekotechnika AG;DE;DE000A161234;EUR;Industrials;Farm & Heavy Construction Machinery;Industrials;Capital Goods;Machinery;Construction Machinery & Heavy Transportation Equipment;Germany;832;https://www.ekotechnika.de;05.09.2023;1
EKSO US;Ekso Bionics Holdings Inc;US;US2826443010;USD;Healthcare;Medical Instruments & Supplies;Health Care;Health Care Equipment & Services;Health Care Equipment & Supplies;Health Care Equipment;United States;72;https://www.eksobionics.com;17.09.2023;1
LOCO US;El Pollo Loco Holdings Inc;US;US2686031079;USD;Consumer Cyclical;Restaurants;Consumer Discretionary;Consumer Services;Hotels, Restaurants & Leisure;Restaurants;United States;4931;https://www.elpolloloco.com;19.09.2023;1
ELAN US;Elanco Animal Health;US;US28414H1032;USD;Healthcare;Drug Manufacturers-Specialty & Generic;Health Care;Pharmaceuticals, Biotechnology & Life Sciences;Pharmaceuticals;Pharmaceuticals;United States;9000;https://www.elanco.com;17.09.2023;1
ESTC US;Elastic NV;US;NL0013056914;USD;Technology;Software-Application;Information Technology;Software & Services;Software;Application Software;United States;2995;https://www.elastic.co;17.09.2023;1
ECOR US;Electrocore LLC;US;US28531P1030;USD;Healthcare;Medical Devices;Health Care;Health Care Equipment & Services;Health Care Equipment & Supplies;Health Care Equipment;United States;62;https://www.electrocore.com;17.09.2023;1
EA US;Electronic Arts Inc;US;US2855121099;USD;Communication Services;Electronic Gaming & Multimedia;Communication Services;Media & Entertainment;Entertainment;Interactive Home Entertainment;United States;13400;https://www.ea.com;19.09.2023;1
ELSE US;Electro-Sensors Inc;US;US2852331022;USD;Technology;Scientific & Technical Instruments;Information Technology;Technology Hardware & Equipment;Electronic Equipment, Instruments & Components;Electronic Equipment & Instruments;United States;34;https://www.electro-sensors.com;19.09.2023;1
ELDN US;Eledon Pharmaceuticals Inc;US;US28617K1016;USD;Healthcare;Biotechnology;Health Care;Pharmaceuticals, Biotechnology & Life Sciences;Biotechnology;Biotechnology;United States;17;https://eledon.com;17.09.2023;1
ESI US;Element Solutions Inc;US;US28618M1062;USD;Basic Materials;Specialty Chemicals;Materials;Materials;Chemicals;Specialty Chemicals;United States;5300;https://elementsolutionsinc.com;18.09.2023;1
ELV US;Elevance Health Inc;US;US94973V1070;USD;Healthcare;Healthcare Plans;Health Care;Health Care Equipment & Services;Health Care Providers & Services;Managed Health Care;United States;102300;https://www.elevancehealth.com;19.09.2023;1
ELEV US;Elevation Oncology Inc;US;US28623U1016;USD;Healthcare;Biotechnology;Health Care;Pharmaceuticals, Biotechnology & Life Sciences;Biotechnology;Biotechnology;United States;33;https://elevationoncology.com;17.09.2023;1
E8X XETRA;elexxion AG;DE;DE000A0KFKH0;EUR;Healthcare;Medical Devices;Health Care;Health Care Equipment & Services;Health Care Equipment & Supplies;Health Care Equipment;Germany;9;https://www.elexxion.com;19.10.2023;1
ELF US;ELF Beauty Inc;US;US26856L1035;USD;Consumer Defensive;Household & Personal Products;Consumer Staples;Household & Personal Products;Personal Care Products;Personal Care Products;United States;339;https://www.elfcosmetics.com;19.09.2023;1
LLY US;Eli Lilly and Company;US;US5324571083;USD;Healthcare;Drug Manufacturers-General;Health Care;Pharmaceuticals, Biotechnology & Life Sciences;Pharmaceuticals;Pharmaceuticals;United States;39000;https://www.lilly.com;19.09.2023;1
ELYM US;Eliem Therapeutics Inc;US;US28658R1068;USD;Healthcare;Biotechnology;Health Care;Pharmaceuticals, Biotechnology & Life Sciences;Biotechnology;Biotechnology;United States;30;https://www.eliemtx.com;17.09.2023;1
ELIOR PA;Elior SCA;FR;FR0011950732;EUR;Consumer Cyclical;Restaurants;Consumer Discretionary;Consumer Services;Hotels, Restaurants & Leisure;Restaurants;France;49775;https://www.eliorgroup.com;19.10.2023;1
ELIS PA;Elis SA;FR;FR0012435121;EUR;Industrials;Specialty Business Services;Industrials;Commercial & Professional Services;Commercial Services & Supplies;Diversified Support Services;France;51834;https://fr.elis.com;19.10.2023;1
EEIQ US;Elite Education Group International Ltd;US;VGG3104J1003;USD;Consumer Defensive;Education & Training Services;Consumer Discretionary;Consumer Services;Diversified Consumer Services;Education Services;United States;58;https://www.epicquesteducation.com;17.09.2023;1
ELMN SW;Elma Electronic AG;CH;CH0005319162;CHF;Technology;Computer Hardware;Information Technology;Technology Hardware & Equipment;Technology Hardware, Storage & Peripherals;Technology Hardware, Storage & Peripherals;Switzerland;820;https://www.elma.com;20.09.2023;1
ELG F;Elmos Semiconductor SE;DE;DE0005677108;EUR;Technology;Semiconductors;Information Technology;Semiconductors & Semiconductor Equipment;Semiconductors & Semiconductor Equipment;Semiconductors;Germany;1200;https://www.elmos.com;19.09.2023;1
ELOX US;Eloxx Pharmaceuticals Inc;US;US29014R1032;USD;Healthcare;Biotechnology;Health Care;Pharmaceuticals, Biotechnology & Life Sciences;Pharmaceuticals;Pharmaceuticals;United States;18;https://www.eloxxpharma.com;17.09.2023;1
ZIL2 F;ElringKlinger AG;DE;DE0007856023;EUR;Consumer Cyclical;Auto Parts;Consumer Discretionary;Automobiles & Components;Automobile Components;Automotive Parts & Equipment;Germany;9606;https://www.elringklinger.com;19.09.2023;1
ELB XETRA;elumeo SE;DE;DE000A11Q059;EUR;Consumer Cyclical;Luxury Goods;Consumer Discretionary;Consumer Durables & Apparel;Textiles, Apparel & Luxury Goods;Apparel, Accessories & Luxury Goods;Germany;223;https://www.elumeo.com;18.10.2023;1
EMBC US;Embecta Corp;US;US29082K1051;USD;Healthcare;Medical Instruments & Supplies;Health Care;Health Care Equipment & Services;Health Care Equipment & Supplies;Health Care Supplies;United States;1900;https://www.embecta.com;17.09.2023;1
EME US;EMCOR Group Inc;US;US29084Q1004;USD;Industrials;Engineering & Construction;Industrials;Capital Goods;Construction & Engineering;Construction & Engineering;United States;35500;https://www.emcorgroup.com;19.09.2023;1
