Code;Name;CountryISO;ISIN;CCY;Sector;Industry;GicSector;GicGroup;GicIndustry;GicSubIndustry;HQ;FullTimeEmployees;WebURL;UpdateDate;ActiveFlag
WAF XETRA;Siltronic AG;DE;DE000WAF3001;EUR;Technology;Semiconductors;Information Technology;Semiconductors & Semiconductor Equipment;Semiconductors & Semiconductor Equipment;Semiconductors;Germany;4525;https://www.siltronic.com;18.10.2023;1
SBOW US;SilverBow Resources Inc;US;US82836G1022;USD;Energy;Oil & Gas E&P;Energy;Energy;Oil, Gas & Consumable Fuels;Oil & Gas Exploration & Production;United States;82;https://www.sbow.com;19.09.2023;1
SAMG US;Silvercrest Asset Management Group Inc;US;US8283591092;USD;Financial Services;Asset Management;Financials;Financial Services;Capital Markets;Asset Management & Custody Banks;United States;152;https://www.silvercrestgroup.com;19.09.2023;1
SSNT US;SilverSun Technologies Inc;US;US82846H2076;USD;Technology;Software-Application;Information Technology;Software & Services;Software;Systems Software;United States;172;https://www.silversuntech.com;18.09.2023;1
SFNC US;Simmons First National Corporation;US;US8287302009;USD;Financial Services;Banks-Regional;Financials;Banks;Banks;Regional Banks;United States;3066;https://www.simmonsbank.com;19.09.2023;1
SPG US;Simon Property Group Inc;US;US8288061091;USD;Real Estate;REIT-Retail;Real Estate;Equity Real Estate Investment Trusts (REITs);Diversified REITs;Retail REITs;United States;2500;https://www.simon.com;17.09.2023;1
SMPL US;Simply Good Foods Co;US;US82900L1026;USD;Consumer Defensive;Packaged Foods;Consumer Staples;Food, Beverage & Tobacco;Food Products;Packaged Foods & Meats;United States;260;https://www.thesimplygoodfoodscompany.com;18.09.2023;1
SSD US;Simpson Manufacturing Company Inc;US;US8290731053;USD;Basic Materials;Lumber & Wood Production;Industrials;Capital Goods;Building Products;Building Products;United States;5158;https://www.simpsonmfg.com;18.09.2023;1
SLP US;Simulations Plus Inc;US;US8292141053;USD;Healthcare;Health Information Services;Health Care;Health Care Equipment & Services;Health Care Technology;Health Care Technology;United States;157;https://www.simulations-plus.com;18.09.2023;1
SBGI US;Sinclair Broadcast Group Inc;US;US8292261091;USD;Communication Services;Entertainment;Communication Services;Media & Entertainment;Media;Broadcasting;United States;7900;https://sbgi.net;19.09.2023;1
OMIC US;Singular Genomics Systems Inc;US;US82933R1005;USD;Healthcare;Medical Instruments & Supplies;Health Care;Health Care Equipment & Services;Health Care Equipment & Supplies;Health Care Equipment;United States;269;https://singulargenomics.com;17.09.2023;1
SNG XETRA;Singulus Technologies AG;DE;DE000A1681X5;EUR;Industrials;Specialty Industrial Machinery;Industrials;Capital Goods;Machinery;Industrial Machinery & Supplies & Components;Germany;298;https://www.singulus.de;18.10.2023;1
SGU F;Sino-German United AG;DE;DE000SGU8886;EUR;Financial Services;Capital Markets;Financials;Financial Services;Capital Markets;Investment Banking & Brokerage;Germany;5;https://www.sgu-ag.de;05.09.2023;1
SINT US;SINTX Technologies Inc;US;US8293923079;USD;Healthcare;Medical Devices;Health Care;Health Care Equipment & Services;Health Care Equipment & Supplies;Health Care Equipment;United States;41;https://www.sintx.com;17.09.2023;1
SIOX US;Sio Gene Therapies Inc;US;US8293991043;USD;Healthcare;Biotechnology;Health Care;Pharmaceuticals, Biotechnology & Life Sciences;Biotechnology;Biotechnology;United States;12;https://www.siogtx.com;17.09.2023;1
